Completion_Time_mean,Completion_Time_lower90,Completion_Time_upper90,Downtime_mean,Downtime_lower90,Downtime_upper90,Energy_Used_mean,Energy_Used_lower90,Energy_Used_upper90,Machine_Wear_mean,Machine_Wear_lower90,Machine_Wear_upper90,Predictive_Failure_Score_mean,Predictive_Failure_Score_lower90,Predictive_Failure_Score_upper90,Error_mean,Error_lower90,Error_upper90,Maintenance_Required_p_cal,Maintenance_Required_p_lower,Maintenance_Required_p_upper,Maintenance_Required_label,Optimization_Success_p_cal,Optimization_Success_p_lower,Optimization_Success_p_upper,Optimization_Success_label,baseline,ctx_Process_Variable,ctx_Machine_Load,ctx_Queue_Length,ctx_Deadline,ctx_Temperature,ctx_Vibration_Level,ctx_Sensor_Status,lever_PID_Output,lever_Fuzzy_Tuned_Kp,lever_Fuzzy_Tuned_Ki,lever_Fuzzy_Tuned_Kd,lever_Resource_Allocated,lever_Priority_Level,feasible,constraint_violation,completion_violation,maintenance_violation,success_violation,failure_violation,pareto,score,recommended
81.68808,29.718002,133.65816,5.065576,-1.5754609,11.706614,20.193605,11.899896,28.487316,50.881058,5.9646645,95.797455,0.51000243,0.05053184,0.9531726,6.98719,6.3948507,7.579529,0.21979865,0.20071635,0.24015006,1,0.32,0.32113612,0.3755073,1,1,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,54.0205326431168,1.5495595336248782,0.4004081692713407,0.1258862502387322,149.3031625191013,3,0,0.38299142669987035,0.2041275436813767,0.0,0.17886388301849365,0.0,0,1312.0729262039467,0
81.83541,29.865334,133.80548,5.0621815,-1.5788555,11.703218,19.927174,11.633464,28.220882,50.881058,5.9646645,95.797455,0.4864154,0.046191588,0.9487758,7.087021,6.494682,7.67936,0.18169014,0.16698825,0.19679566,1,0.25757575,0.21494296,0.2755901,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,47.439215270431845,1.0968983681611073,0.4364693081359672,0.27570686258552446,179.821776910382,2,0,0.49051182146544925,0.20545478339667791,0.0,0.28505703806877136,0.0,0,1634.510603597035,0
83.09956,31.129486,135.06964,5.0388103,-1.6022267,11.679848,20.052172,11.758462,28.345882,51.364086,6.447693,96.28048,0.551615,0.05918295,0.9600943,6.893748,6.301409,7.486087,0.18539326,0.16698825,0.19679566,1,0.32258064,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,60.366445746146795,1.2135432666320813,0.4005460868230296,0.38484002977450144,107.3216625948036,2,0,0.39570749665165805,0.21684361363316443,0.0,0.17886388301849365,0.0,0,1351.4981077571174,0
82.41766,30.447586,134.38774,5.0388103,-1.6022267,11.679848,20.090195,11.796485,28.383904,50.881058,5.9646645,95.797455,0.4895404,0.046745777,0.94938034,7.04357,6.451231,7.635909,0.18539326,0.16698825,0.19679566,1,0.34453782,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,55.459164885720554,1.7706192316752838,0.2622834893822834,0.3035322963920454,128.86991479284615,1,0,0.3895642531884683,0.21070037016997467,0.0,0.17886388301849365,0.0,0,1332.4137844958823,0
81.84859,29.87851,133.81866,5.0621815,-1.5788555,11.703218,20.20802,11.9143095,28.501728,50.881058,5.9646645,95.797455,0.49935478,0.04852685,0.9512343,7.0028467,6.4105077,7.5951858,0.18169014,0.16698825,0.19679566,1,0.34453782,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,52.46760742206946,1.0185050435825658,0.6425301102454697,0.09179816942902037,170.95438855439528,3,0,0.38443743753003645,0.2055735545115428,0.0,0.17886388301849365,0.0,0,1316.5839394798152,0
81.75323,29.78315,133.7233,5.11475,-1.5262871,11.755787,20.114767,11.821057,28.408478,50.881058,5.9646645,95.797455,0.51967573,0.052422658,0.95487124,7.084693,6.492354,7.677032,0.18169014,0.16698825,0.19679566,1,0.34453782,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,42.53639668498844,1.7926944472256272,0.527301850496264,0.1369739873539803,146.8724106266225,3,0,0.38357827147921997,0.20471438846072634,0.0,0.17886388301849365,0.0,0,1313.8214605772814,0
82.23817,30.26809,134.20825,5.0621815,-1.5788555,11.703218,19.92619,11.63248,28.219898,50.776062,5.8596687,95.69246,0.53421116,0.0553962,0.95731854,7.067187,6.474848,7.659526,0.18169014,0.16698825,0.19679566,1,0.3286219,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,42.535855518481654,0.6503434630288808,0.8704722808449978,0.151880382499502,180.96117072598574,3,0,0.3879472339475477,0.20908335092905406,0.0,0.17886388301849365,0.0,0,1327.2271705640328,0
81.98694,30.016861,133.95702,5.0621815,-1.5788555,11.703218,20.00675,11.71304,28.30046,50.881058,5.9646645,95.797455,0.54728633,0.058216803,0.9594189,7.2359414,6.6436024,7.8282804,0.18169014,0.16698825,0.19679566,1,0.19805194,0.14302686,0.1763598,0,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,40.33909470674029,1.6569725741550227,0.13523466157561806,0.16890168091537472,210.55164354455997,3,0,0.5637931053165917,0.20681996388478321,0.0,0.35697314143180847,0.0,0,1854.596211649276,0
81.05202,29.08194,133.0221,5.0388103,-1.6022267,11.679848,20.01634,11.7226305,28.310051,50.935345,6.0189514,95.85174,0.49181604,0.047153212,0.9498161,6.895332,6.302993,7.487671,0.18169014,0.16698825,0.19679566,1,0.32258064,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,58.46972022440036,1.7603875914682239,0.6748128581363287,0.30474105166867327,98.2884523161664,1,0,0.37726113280734497,0.19839724978885134,0.0,0.17886388301849365,0.0,0,1294.0653602207028,0
82.17302,30.202942,134.1431,5.0621815,-1.5788555,11.703218,19.898397,11.604688,28.192108,50.881058,5.9646645,95.797455,0.47101334,0.043547023,0.9456915,7.1718335,6.5794945,7.7641726,0.18169014,0.16698825,0.19679566,1,0.39267015,0.32113612,0.3755073,1,0,72.95076208,52.37782664540765,4,111,36.94598945212311,0.6062311414302038,Fail,52.522722868829845,0.7872814436633082,0.7798436845553315,0.2776041915680716,177.10636425628775,1,0,0.3873602517016299,0.20849636868313626,0.0,0.17886388301849365,0.0,0,1325.361651708951,0
